county_FIPS,state,county,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,associate_degree_numbers_2016_2020,bachelor_degree_numbers_2016_2020,associate_degree_percentage_2016_2020,bachelor_degree_percentage_2015_2019,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE18PLUS_TOT,AGE65PLUS_TOT,MEDIAN_AGE_TOT
28047,MS,"Harrison, MS",38492,42037,44551,50612,32522,36.91,23.72,208627.0,102256.0,106371.0,13385.0,25738.0,11264.0,158240.0,32508.0,37.5
09015,CT,"Windham, CT",47872,51376,55261,24794,19405,30.29,23.7,,,,,,,,,
49003,UT,"Box Elder, UT",38927,42295,45456,12701,7754,38.82,23.7,57665.0,29489.0,28176.0,4440.0,9439.0,4228.0,39558.0,7374.0,32.8
30075,MT,"Powder River, MT",34282,40773,39838,488,296,39.04,23.68,1694.0,853.0,841.0,90.0,114.0,71.0,1419.0,485.0,53.5
27167,MN,"Wilkin, MN",48502,58334,65570,1753,1054,39.35,23.66,6508.0,3438.0,3070.0,375.0,775.0,326.0,5032.0,1229.0,42.6
37011,NC,"Avery, NC",37300,40197,43022,4165,3171,31.07,23.66,17814.0,9766.0,8048.0,715.0,1287.0,604.0,15208.0,3969.0,45.7
20031,KS,"Coffey, KS",51433,56637,58867,2152,1389,36.6,23.62,8361.0,4166.0,4195.0,419.0,939.0,445.0,6558.0,1820.0,44.2
48077,TX,"Clay, TX",46704,49170,51938,2476,1801,32.47,23.62,10217.0,5136.0,5081.0,437.0,1053.0,533.0,8194.0,2399.0,46.9
48295,TX,"Lipscomb, TX",88722,94821,102569,603,489,29.12,23.61,3061.0,1580.0,1481.0,171.0,414.0,200.0,2276.0,554.0,39.0
17115,IL,"Macon, IL",47492,51804,56548,24125,17044,33.37,23.58,103996.0,50190.0,53806.0,6445.0,11924.0,5305.0,80322.0,20839.0,41.0
36095,NY,"Schoharie, NY",45273,49123,52027,6907,5279,30.86,23.58,29726.0,14959.0,14767.0,1298.0,2672.0,1315.0,24441.0,6737.0,46.1
